id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
12,0,0,0,9.8,271.8,1,2600,grass,190,0.0055,1,1,0,0,1,0,1,1,1,0.0039,0,1,0.0707,0.0027,0,0,0.0111,0.007,0.0055,0
13,0,1,1,34.8,271.8,1,2500,grass,190,0.007,1,0,0,0,0,0,1,1,1,0.0059,0,1,0.1282,0.0035,0,0,0.0122,0.032,0,0
14,0,2,2,59.8,271.8,1,2500,grass,190,0.007,1,0,0,0,0,0,1,1,1,0.0059,0,1,0.1282,0.0035,0,0,0.0123,0,0,0
15,0,3,3,84.8,271.8,1,2500,grass,190,0.007,1,0,0,0,0,0,1,1,1,0.0059,0,1,0.1282,0.0035,0,0,0.0123,0,0,0
16,0,4,4,109.8,271.8,1,2500,grass,190,0.007,1,0,0,0,0,0,1,1,1,0.0059,0,1,0.1282,0.0035,0,0,0.0123,0,0,0
17,0,5,5,134.8,271.8,1,2500,grass,190,0.0065,1,1,1,0,0,0,1,0.1339,0,4.027,0,1,0.1282,0.0033,0,0,0.1344,0.5174,0,0
20890,0,5,5,134.8,271.8,1,2500,alnuviri,1,0.0101,299,1,1,0,1,6.3347,3.6171,0.0008,0,4.027,0,1,0.0403,0.0005,0.0096,0,0.1344,0.5174,0,13
18,0,6,6,159.8,271.8,1,2500,grass,190,0.0066,1,1,1,0,0,0,1,0.1442,0,3.8791,0,1,0.1282,0.0033,0,0,0.1352,0.6574,0,0
20891,0,6,6,159.8,271.8,1,2500,alnuviri,1,0.0101,288,1,1,0,1,6.3347,3.6171,0.0014,0,3.8791,0,1,0.0403,0.0005,0.0096,0,0.1352,0.6574,0,24
19,0,7,7,184.8,271.8,1,2400,grass,190,0.0084,1,3,3,0,0,0,1,0.3025,0.0008,2.3996,0,1,0.1835,0.0042,0,0,0.3326,3.1934,0,0
16419,0,7,7,184.8,271.8,1,2400,alnuviri,33,0.0102,1,0,0,0,0,6.3492,3.6188,0.9978,0.9986,2.3996,0,1,0.1013,0.0005,0.0097,0,0.3326,3.1934,0,309
18377,0,7,7,184.8,271.8,1,2400,alnuviri,16,0.0101,3,0,0,0,0,6.3401,3.6177,0.9867,0.9914,2.3996,0,1,0.1013,0.0005,0.0096,0,0.3326,3.1934,0,233
20388,0,7,7,184.8,271.8,1,2400,alnuviri,3,0.0101,174,3,3,0,1,6.3292,3.6164,0.1207,0,2.3996,0,1,0.1013,0.0005,0.0096,0,0.3326,3.1934,0,125
20,0,8,8,209.8,271.8,1,2400,grass,190,0.009,1,3,3,0,0,0,1,0.1891,0,3.3402,0,1,0.1835,0.0045,0,0,0.3486,3.209,0.0019,0
20892,0,8,8,209.8,271.8,1,2400,pinucemb,1,0.0101,46,1,0,0,1,7.6256,6.7737,0.2614,0.1847,3.3402,0,1,0.0459,0.0025,0.0076,0,0.3486,3.209,0.0019,0
16805,0,8,8,209.8,271.8,1,2400,alnuviri,28,0.0102,1,0,0,0,0,6.3492,3.6188,0.9978,0.9986,3.3402,0,1,0.1013,0.0005,0.0097,0,0.3486,3.209,0.0019,95
18378,0,8,8,209.8,271.8,1,2400,alnuviri,16,0.0101,6,0,0,0,0,6.3401,3.6177,0.9801,0.9879,3.3402,0,1,0.1013,0.0005,0.0096,0,0.3486,3.209,0.0019,237
20389,0,8,8,209.8,271.8,1,2400,alnuviri,3,0.0101,169,3,3,0,1,6.3292,3.6164,0.1361,0,3.3402,0,1,0.1013,0.0005,0.0096,0,0.3486,3.209,0.0019,122
21,0,9,9,234.8,271.8,1,2400,grass,190,0.0112,1,0,0,0,0,0,1,0.1298,0.9767,4.0977,0,1,0.1835,0.0056,0,0,0.0689,2.0164,0,0
18379,0,9,9,234.8,271.8,1,2400,alnuviri,16,0.0101,4,0,0,0,0,6.3401,3.6177,0.9912,0.9938,4.0977,0,1,0.1013,0.0005,0.0096,0,0.0689,2.0164,0,247
21008,0,9,9,234.8,271.8,1,2400,alnuviri,0,0.0101,300,0,0,0,0,6.3292,3.6164,0.0007,0,4.0977,0,0,0,0.0005,0.0096,0,0.0689,2.0164,0,0
22,0,10,10,259.8,271.8,1,2400,grass,190,0.0108,1,1,1,0,0,0,1,0.1394,0,3.953,0,1,0.1835,0.0054,0,0,0.1827,2.2877,0,0
16488,0,10,10,259.8,271.8,1,2400,alnuviri,32,0.0101,1,1,1,0,0,6.3321,3.6168,0.1401,0.0614,3.953,0,1,0.1013,0.0005,0.0096,0,0.1827,2.2877,0,132
18380,0,10,10,259.8,271.8,1,2400,alnuviri,16,0.0101,3,1,1,0,0,6.3401,3.6177,0.1423,0.0658,3.953,0,1,0.1013,0.0005,0.0096,0,0.1827,2.2877,0,240
20893,0,10,10,259.8,271.8,1,2400,alnuviri,1,0.0102,288,1,1,0,0,6.3492,3.6188,0.0014,0,3.953,0,1,0.1013,0.0005,0.0097,0,0.1827,2.2877,0,13
23,0,11,11,284.8,271.8,1,2400,grass,190,0.0081,1,3,3,0,0,0,1,0.2906,0.0027,2.4796,0,1,0.1835,0.0041,0,0,0.3163,2.3722,0,0
15715,0,11,11,284.8,271.8,1,2400,alnuviri,38,0.0101,1,3,3,0,1,6.3292,3.6164,0.094,0,2.4796,0,1,0.1013,0.0005,0.0096,0,0.3163,2.3722,0,175
20390,0,11,11,284.8,271.8,1,2400,alnuviri,3,0.0101,183,3,3,0,1,6.3292,3.6164,0.094,0,2.4796,0,1,0.1013,0.0005,0.0096,0,0.3163,2.3722,0,126
24,0,12,12,309.8,271.8,1,2400,grass,190,0.0107,1,1,1,0,0,0,1,0.1452,0,3.8719,0,1,0.1835,0.0054,0,0,0.2054,2.2552,0,0
16810,0,12,12,309.8,271.8,1,2400,alnuviri,28,0.0102,2,1,1,0,0,6.3492,3.6188,0.0021,0,3.8719,0,1,0.1013,0.0005,0.0097,0,0.2054,2.2552,0,123
18381,0,12,12,309.8,271.8,1,2400,alnuviri,16,0.0101,6,1,1,0,0,6.3401,3.6177,0.1492,0.0754,3.8719,0,1,0.1013,0.0005,0.0096,0,0.2054,2.2552,0,238
20894,0,12,12,309.8,271.8,1,2400,alnuviri,1,0.0102,278,1,1,0,0,6.3492,3.6188,0.0021,0,3.8719,0,1,0.1013,0.0005,0.0097,0,0.2054,2.2552,0,15
25,0,13,13,334.8,271.8,1,2400,grass,190,0.0089,1,3,3,0,0,0,1,0.3025,0,2.4005,0,1,0.1835,0.0044,0,0,0.3563,3.3151,0,0
16274,0,13,13,334.8,271.8,1,2400,alnuviri,34,0.0102,1,0,0,0,0,6.3492,3.6188,0.9978,0.9986,2.4005,0,1,0.1013,0.0005,0.0097,0,0.3563,3.3151,0,114
18382,0,13,13,334.8,271.8,1,2400,alnuviri,16,0.0101,7,0,0,0,0,6.3401,3.6177,0.9779,0.9879,2.4005,0,1,0.1013,0.0005,0.0096,0,0.3563,3.3151,0,226
20391,0,13,13,334.8,271.8,1,2400,alnuviri,3,0.0101,170,3,3,0,1,6.3292,3.6164,0.1315,0,2.4005,0,1,0.1013,0.0005,0.0096,0,0.3563,3.3151,0,125
26,0,14,14,359.8,271.8,1,2300,grass,190,0.0104,1,0,0,0,0,0,1,0.2709,0.1801,2.6238,0,1,0.2407,0.0052,0,0,0.3936,2.1723,0,0
9553,0,14,14,359.8,271.8,1,2300,alnuviri,79,0.0101,1,0,0,0,0,6.3434,3.6181,0.9262,0.955,2.6238,0,1,0.1642,0.0005,0.0097,0,0.3936,2.1723,0,209
11160,0,14,14,359.8,271.8,1,2300,alnuviri,72,0.0101,2,0,0,0,0,6.3299,3.6165,0.2734,0.3029,2.6238,0,1,0.1642,0.0005,0.0096,0,0.3936,2.1723,0,109
13042,0,14,14,359.8,271.8,1,2300,alnuviri,57,0.0102,1,0,0,0,0,6.3552,3.6195,0.9325,0.9587,2.6238,0,1,0.1642,0.0005,0.0097,0,0.3936,2.1723,0,151
13534,0,14,14,359.8,271.8,1,2300,alnuviri,53,0.0101,2,0,0,0,0,6.3374,3.6174,0.2492,0.2291,2.6238,0,1,0.1642,0.0005,0.0096,0,0.3936,2.1723,0,100
14460,0,14,14,359.8,271.8,1,2300,alnuviri,45,0.0101,1,0,0,0,0,6.3374,3.6174,0.2492,0.2291,2.6238,0,1,0.1642,0.0005,0.0096,0,0.3936,2.1723,0,132
16420,0,14,14,359.8,271.8,1,2300,alnuviri,33,0.0102,10,0,0,0,0,6.3633,3.6204,0.9779,0.9867,2.6238,0,1,0.1642,0.0005,0.0097,0,0.3936,2.1723,0,95
18911,0,14,14,359.8,271.8,1,2300,alnuviri,12,0.0101,53,0,0,0,0,6.3374,3.6174,0.2492,0.2291,2.6238,0,1,0.1642,0.0005,0.0096,0,0.3936,2.1723,0,152
19865,0,14,14,359.8,271.8,1,2300,alnuviri,4,0.0101,124,0,0,0,0,6.3374,3.6174,0.2492,0.2291,2.6238,0,1,0.1642,0.0005,0.0096,0,0.3936,2.1723,0,42
30,0,15,15,384.8,271.8,1,2300,grass,190,0.0098,1,0,0,0,0,0,1,0.2335,0.1316,2.9198,0,1,0.2407,0.0049,0,0,0.4377,2.189,0.0029,0
13043,0,15,15,384.8,271.8,1,2300,alnuviri,57,0.0102,1,0,0,0,0,6.3552,3.6195,0.9208,0.9531,2.9198,0,1,0.1642,0.0005,0.0097,0,0.4377,2.189,0.0029,129
14461,0,15,15,384.8,271.8,1,2300,alnuviri,45,0.0101,9,0,0,0,0,6.3374,3.6174,0.2232,0.2107,2.9198,0,1,0.1642,0.0005,0.0096,0,0.4377,2.189,0.0029,180
15521,0,15,15,384.8,271.8,1,2300,alnuviri,41,0.0101,2,0,0,0,0,6.3434,3.6181,0.7754,0.8542,2.9198,0,1,0.1642,0.0005,0.0097,0,0.4377,2.189,0.0029,93
18383,0,15,15,384.8,271.8,1,2300,alnuviri,16,0.0102,36,0,0,0,0,6.3552,3.6195,0.9208,0.9531,2.9198,0,1,0.1642,0.0005,0.0097,0,0.4377,2.189,0.0029,132
18912,0,15,15,384.8,271.8,1,2300,alnuviri,12,0.0101,47,0,0,0,0,6.3374,3.6174,0.2232,0.2107,2.9198,0,1,0.1642,0.0005,0.0096,0,0.4377,2.189,0.0029,56
19866,0,15,15,384.8,271.8,1,2300,alnuviri,4,0.0101,121,0,0,0,0,6.3374,3.6174,0.2232,0.2107,2.9198,0,1,0.1642,0.0005,0.0096,0,0.4377,2.189,0.0029,24
35,0,16,16,409.8,271.8,1,2300,grass,190,0.0107,1,0,0,0,0,0,1,0.18,0.3596,3.4421,0,1,0.2407,0.0054,0,0,0.3801,2.7528,0.0053,0
17338,0,16,16,409.8,271.8,1,2300,pinucemb,24,0.0104,1,0,0,0,0,7.7091,6.8257,0.9965,0.9982,3.4421,0,1,0.1142,0.0025,0.0078,0.0001,0.3801,2.7528,0.0053,61
9555,0,16,16,409.8,271.8,1,2300,alnuviri,79,0.0101,2,0,0,0,0,6.3434,3.6181,0.4303,0.948,3.4421,0,1,0.1642,0.0005,0.0097,0,0.3801,2.7528,0.0053,241
13044,0,16,16,409.8,271.8,1,2300,alnuviri,57,0.0102,1,0,0,0,0,6.3552,3.6195,0.9163,0.9529,3.4421,0,1,0.1642,0.0005,0.0097,0,0.3801,2.7528,0.0053,155
13535,0,16,16,409.8,271.8,1,2300,alnuviri,53,0.0101,2,0,0,0,0,6.3374,3.6174,0.2397,0.5791,3.4421,0,1,0.1642,0.0005,0.0096,0,0.3801,2.7528,0.0053,109
14462,0,16,16,409.8,271.8,1,2300,alnuviri,45,0.0101,1,0,0,0,0,6.3374,3.6174,0.2397,0.5791,3.4421,0,1,0.1642,0.0005,0.0096,0,0.3801,2.7528,0.0053,127
16812,0,16,16,409.8,271.8,1,2300,alnuviri,28,0.0102,11,0,0,0,0,6.3633,3.6204,0.9654,0.981,3.4421,0,1,0.1642,0.0005,0.0097,0,0.3801,2.7528,0.0053,89
18913,0,16,16,409.8,271.8,1,2300,alnuviri,12,0.0101,27,0,0,0,0,6.3374,3.6174,0.2397,0.5791,3.4421,0,1,0.1642,0.0005,0.0096,0,0.3801,2.7528,0.0053,154
