year,grass,abiealba,larideci,piceabie,pinucemb,pinusilv,acerpseu,betupube,fagusilv,popunigr,querpetr,querrobu,sorbaucu,alnuinca,alnuviri,poputrem,salicapr,acercamp,acerplat,alnuglut,betupend,carpbetu,castsati,coryavel,fraxexce,querpube,salialba,sorbaria,tilicord,tiliplat,ulmuglab,ilexaqui,landtype,area
1,16,82.4615,242.3333,198.2564,590.4615,2.3077,0,4.6667,0.1538,2.3333,0,0,1.641,0.8462,209.7179,1.3333,2.9744,0,0,0,3.0769,0,0,0,0,0,0,0,0,0,0,0,1,39
1,16,28.8696,254.029,182.1118,629.0186,0.9938,0,3.3623,0.0828,1.0269,0,0,1.3416,0.7122,230.0621,0.6957,1.7226,0,0,0,0.8447,0,0,0,0,0,0,0,0,0,0,0,2,60.375
10,16,86.6667,258.0513,234.1795,666.3846,1.7436,0,2.7436,0.1538,2.1538,0,0,1.0513,0.5641,348.4359,0.6667,3.4872,0,0,0,2.1282,0,0,0,0,0,0,0,0,0,0,0,1,39
10,16,30.3271,256.0994,199.8841,762.7826,0.6128,0,1.9545,0.0828,1.9379,0,0,0.7122,0.3644,420.2402,0.4306,2.3188,0,0,0,0.6128,0,0,0,0,0,0,0,0,0,0,0,2,60.375
20,16,77.7436,194.5641,199.7692,666.282,0.6154,0,1.359,0.1026,1.6667,0,0,0.4872,0.3846,238.5128,0.359,1.9744,0,0,0,1.1795,0,0,0,0,0,0,0,0,0,0,0,1,39
20,16,23.4865,215.735,179.3789,756.1573,0.2153,0,1.1925,0.0663,1.0269,0,0,0.3478,0.2816,269.4493,0.2319,1.6232,0,0,0,0.2981,0,0,0,0,0,0,0,0,0,0,0,2,60.375
30,16,64.0769,177.3333,174.0256,680.1539,0.0513,0,0.6923,0.0769,1.2051,0,0,0.2821,0.2821,307.1026,0.1538,1.3333,0,0,0,0.6154,0,0,0,0,0,0,0,0,0,0,0,1,39
30,16,17.822,200.3644,159.205,748.1905,0.0497,0,0.7453,0.0166,0.7453,0,0,0.1822,0.0994,344.8282,0.0663,0.7785,0,0,0,0.0828,0,0,0,0,0,0,0,0,0,0,0,2,60.375
40,16,74.8974,180.8462,171.7692,709.7436,0,0,0.3846,0.0256,1.0256,0,0,0.1026,0.1538,491.1538,0.0513,1.8974,0,0,0,0.3077,0,0,0,0,0,0,0,0,0,0,0,1,39
40,16,40.1822,184.2153,149.0021,808.0662,0,0,0.4803,0.0166,0.5797,0,0,0.0994,0.0663,511.9503,0.0331,1.4907,0,0,0,0.0166,0,0,0,0,0,0,0,0,0,0,0,2,60.375
