year,row,column,LAI
10,0,0,0.0415
10,0,1,0.704
10,0,2,0.0068
10,0,3,0.0068
10,0,4,0.0068
10,0,5,0.0068
10,0,6,0.0068
10,0,7,0.0132
10,0,8,0.0132
10,0,9,0.0132
10,0,10,0.0132
10,0,11,0.6846
10,0,12,1.4698
10,0,13,1.8397
10,0,14,3.2127
10,0,15,2.6846
10,0,16,2.8114
10,0,17,2
10,0,18,2.1149
10,0,19,4.6804
10,0,20,4.064
10,0,21,3.6123
10,0,22,4.4154
10,0,23,4.1195
10,0,24,4.1149
10,0,25,4.2371
10,0,26,4.6886
10,0,27,5.0021
10,0,28,4.6084
10,0,29,4.6477
10,0,30,4.7259
10,0,31,5.1522
10,0,32,4.9364
10,0,33,4.9654
10,0,34,6.0407
10,0,35,5.1535
10,0,36,5.0295
10,0,37,4.8579
10,0,38,5.1859
10,0,39,5.379
10,0,40,5.0837
10,0,41,5.0858
10,0,42,4.9109
10,0,43,4.9932
10,0,44,4.7374
10,0,45,5.0188
10,0,46,5.4812
10,0,47,5.0185
10,0,48,5.3528
10,0,49,5.2549
10,0,50,4.9044
10,0,51,5.2321
10,0,52,4.8504
10,0,53,5.6625
10,0,54,5.1241
10,0,55,4.8737
10,0,56,6.2659
10,0,57,6.0251
10,0,58,6.1257
10,0,59,6.4432
10,0,60,6.5436
10,0,61,6.2076
10,0,62,6.6997
10,0,63,5.9958
10,0,64,5.0271
10,0,65,4.701
10,0,66,4.7724
10,0,67,4.7126
10,0,68,5.3989
10,0,69,5.1775
10,0,70,5.569
10,0,71,5.1048
10,0,72,4.9495
10,0,73,5.2332
10,0,74,5.2075
10,0,75,4.6572
10,0,76,5.1125
10,0,77,5.5826
10,0,78,5.1777
10,0,79,5.0859
10,0,80,4.935
10,0,81,4.5957
10,0,82,5.0832
10,0,83,4.7957
10,0,84,5.2832
10,0,85,5.0276
10,0,86,5.0457
10,0,87,5.0963
10,0,88,5.5242
10,0,89,5.4187
10,0,90,5.6901
10,0,91,4.8867
10,0,92,5.5283
10,0,93,5.1948
10,0,94,4.8189
10,0,95,4.6528
10,0,96,4.7183
10,0,97,5.3181
10,0,98,4.8747
10,0,99,4.7437
10,0,100,5.0423
10,0,101,4.9083
10,0,102,4.9826
10,0,103,5.3559
10,0,104,5.107
10,0,105,4.5689
10,0,106,4.8671
10,0,107,4.8595
10,0,108,4.6762
10,0,109,4.9032
10,0,110,4.747
10,0,111,4.9586
10,0,112,4.8431
10,0,113,4.7719
10,0,114,4.7168
10,0,115,3.8574
10,0,116,4.2237
10,0,117,4.3502
10,0,118,4.3974
10,0,119,4.2324
10,0,120,4.334
10,0,121,4.2642
10,0,122,4.6641
10,0,123,4.73
10,0,124,4.5682
10,0,125,4.6221
10,0,126,4.8088
10,0,127,2.2694
10,0,128,2.1316
10,0,129,2.952
10,0,130,1.6094
10,0,131,2.8219
10,0,132,3.0181
10,0,133,2.232
10,0,134,3.2473
10,0,135,2.8901
10,0,136,1.9223
10,0,137,1.8887
10,0,138,0.631
10,0,139,0.0132
10,0,140,0.0132
10,0,141,0.0132
10,0,142,0.0132
10,0,143,0.0132
10,0,144,0.0132
10,0,145,0.0132
10,0,146,0.0132
10,0,147,0.0132
10,0,148,0.0067
10,0,149,0.0067
10,0,150,0.0067
10,0,151,0.0067
10,0,152,0.0067
10,0,153,0.0067
10,0,154,0.0067
10,0,155,0.0067
10,0,156,0.0067
10,0,157,0.0066
10,0,158,0.0066
10,1,0,0.0066
10,1,1,0.0068
10,1,2,0.0068
10,1,3,0.0068
10,1,4,0.0068
10,1,5,0.0068
10,1,6,0.0068
10,1,7,0.0132
10,1,8,0.0132
10,1,9,0.0132
10,1,10,0.0132
10,1,11,2.0745
10,1,12,0.8065
10,1,13,1.639
10,1,14,1.9317
10,1,15,3.0255
10,1,16,2.0223
10,1,17,2.1118
