id,row,col,cell,xcoord,ycoord,landtype,elevation,species,age,biomass,stems,slowGrowth,slowGrowthLight,slowGrowthWater,slowGrowthTemp,dbh,height,availableLight,light_rf,leafArea,droughtIndex,moisture_rf,degreeDay_rf,foliageWght,twigWght,boleWght,deadFoliage,deadTwig,deadbole,mortality
12,0,0,0,9.8,271.8,1,2600,grass,170,0.0068,1,8,0,0,8,0,1,1,1,0.0056,0,1,0.026,0.0034,0,0,0.0141,0.0294,0.0072,0
13,0,1,1,34.8,271.8,1,2500,grass,170,0.0061,1,4,0,0,4,0,1,1,1,0.0047,0,1,0.0601,0.0031,0,0,0.0134,0.1446,0,0
14,0,2,2,59.8,271.8,1,2500,grass,170,0.0062,1,4,0,0,4,0,1,1,1,0.0048,0,1,0.0601,0.0031,0,0,0.0137,0,0,0
15,0,3,3,84.8,271.8,1,2500,grass,170,0.0062,1,4,0,0,4,0,1,1,1,0.0048,0,1,0.0601,0.0031,0,0,0.0137,0,0,0
16,0,4,4,109.8,271.8,1,2500,grass,170,0.0062,1,4,0,0,4,0,1,1,1,0.0048,0,1,0.0601,0.0031,0,0,0.0137,0,0,0
17,0,5,5,134.8,271.8,1,2500,grass,170,0.0057,1,4,0,0,4,0,1,0.98,0.9814,0.0446,0,1,0.0601,0.0029,0,0,0.0737,1.4207,0,0
16062,0,5,5,134.8,271.8,1,2500,alnuviri,15,0.0101,3,8,0,0,8,6.3347,3.6171,0.9934,0.995,0.0446,0,1,0,0.0005,0.0096,0,0.0737,1.4207,0,309
18,0,6,6,159.8,271.8,1,2500,grass,170,0.0059,1,4,0,0,4,0,1,0.9669,0.944,0.0717,0,1,0.0601,0.003,0,0,0.1057,1.5885,0,0
16272,0,6,6,159.8,271.8,1,2500,alnuviri,14,0.0101,5,8,0,0,8,6.3347,3.6171,0.989,0.9856,0.0717,0,1,0,0.0005,0.0096,0,0.1057,1.5885,0,307
19,0,7,7,184.8,271.8,1,2400,grass,170,0.0091,1,0,0,0,0,0,1,0.4898,0.3438,1.4368,0,1,0.1164,0.0046,0,0,0.3849,3.1763,0,0
16419,0,7,7,184.8,271.8,1,2400,alnuviri,13,0.0102,22,4,0,0,4,6.3492,3.6188,0.8986,0.9084,1.4368,0,1,0.0273,0.0005,0.0097,0,0.3849,3.1763,0,288
16804,0,7,7,184.8,271.8,1,2400,alnuviri,8,0.0102,26,4,0,0,4,6.3492,3.6188,0.8986,0.9084,1.4368,0,1,0.0273,0.0005,0.0097,0,0.3849,3.1763,0,121
17331,0,7,7,184.8,271.8,1,2400,alnuviri,4,0.0101,58,4,0,0,4,6.3321,3.6168,0.636,0.6094,1.4368,0,1,0.0273,0.0005,0.0096,0,0.3849,3.1763,0,65
20,0,8,8,209.8,271.8,1,2400,grass,170,0.0085,1,0,0,0,0,0,1,0.563,0.4746,1.1575,0,1,0.1164,0.0043,0,0,0.4058,3.5683,0.0024,0
16806,0,8,8,209.8,271.8,1,2400,pinucemb,8,0.0101,6,8,0,0,8,7.6296,6.7762,0.5873,0.7053,1.1575,0,1,0,0.0025,0.0076,0,0.4058,3.5683,0.0024,65
14915,0,8,8,209.8,271.8,1,2400,alnuviri,24,0.0101,6,4,0,0,4,6.3292,3.6164,0.616,0.6478,1.1575,0,1,0.0273,0.0005,0.0096,0,0.4058,3.5683,0.0024,295
16063,0,8,8,209.8,271.8,1,2400,alnuviri,15,0.0102,11,4,0,0,4,6.3492,3.6188,0.9438,0.9592,1.1575,0,1,0.0273,0.0005,0.0097,0,0.4058,3.5683,0.0024,181
16805,0,8,8,209.8,271.8,1,2400,alnuviri,8,0.0102,15,4,0,0,4,6.3492,3.6188,0.9438,0.9592,1.1575,0,1,0.0273,0.0005,0.0097,0,0.4058,3.5683,0.0024,81
17332,0,8,8,209.8,271.8,1,2400,alnuviri,4,0.0101,44,4,0,0,4,6.3321,3.6168,0.7611,0.8021,1.1575,0,1,0.0273,0.0005,0.0096,0,0.4058,3.5683,0.0024,54
