year,grass,abiealba,larideci,piceabie,pinucemb,pinusilv,acerpseu,betupube,fagusilv,popunigr,querpetr,querrobu,sorbaucu,alnuinca,alnuviri,poputrem,salicapr,acercamp,acerplat,alnuglut,betupend,carpbetu,castsati,coryavel,fraxexce,querpube,salialba,sorbaria,tilicord,tiliplat,ulmuglab,ilexaqui,elevation,area
1,16,790,159,246,36.6,5,0,14.4,2.2,29.2,0,0,4,6,0,8.4,17.8,0,0,0,25.8,0,0,0,0,0,0,0,0,0,0,0,1600,5
1,16,100.9,242.1,366.7,384.6,12.5,0,18.3,0,0.7,0,0,5.7,4.6,0,5.2,13.1,0,0,0,4.2,0,0,0,0,0,0,0,0,0,0,0,1700,10
1,16,0,389.6471,396.8941,596.8,0,0,11.6706,0,0,0,0,5.5529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,10.625
1,16,0,507.7333,448.32,691.0933,0,0,0.64,0,0,0,0,0.96,0,0.4267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,9.375
1,16,0,633.0105,440.2526,1022.063,0,0,0,0,0,0,0,0,0,0.4211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,11.875
1,16,0,499.7714,20.8,2197.257,0,0,0,0,0,0,0,0,0,10.6286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,8.75
1,16,0,48.9263,0,1074.947,0,0,0,0,0,0,0,0,0,1363.032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,11.875
1,16,0,22.1714,0,0,0,0,0,0,0,0,0,0,0,646.7429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,8.75
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,11.875
1,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,9.375
1,16,0,3.7333,0,14.9333,0,0,0,0,0,0,0,0,0,65.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,1.875
10,16,852.2,114,228.2,16,4.2,0,8,2.2,23.6,0,0,2.2,4.2,0,4.8,12.6,0,0,0,18.6,0,0,0,0,0,0,0,0,0,0,0,1600,5
10,16,95,184.8,345.2,290.3,8.4,0,10.8,0,7.7,0,0,3.2,2.3,0,2.8,17.9,0,0,0,2.7,0,0,0,0,0,0,0,0,0,0,0,1700,10
10,16,0,328.2823,367.8118,506.1647,0,0,7.0588,0,0.5647,0,0,3.4824,0,0,0,3.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1800,10.625
10,16,0,482.4533,416.4267,589.6533,0,0,0.2133,0,0,0,0,0.4267,0,0.1067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1900,9.375
10,16,0,601.179,420.6316,943.8316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000,11.875
10,16,0,473.9429,73.7143,2149.829,0,0,0,0,0,0,0,0,0,4.3429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2100,8.75
10,16,0,52.8,257.3474,2265.095,0,0,0,0,0,0,0,0,0,928.9263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2200,11.875
10,16,0,318.9714,11.4286,113.3714,0,0,0,0,0,0,0,0,0,2397.486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2300,8.75
10,16,0,33.0947,0,20.5474,0,0,0,0,0,0,0,0,0,558.4842,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2400,11.875
10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,29.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2500,9.375
10,16,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2600,1.875
