row,col,soilmoisture
0,0,15
0,1,15
0,2,15
0,3,15
0,4,15
0,5,15
0,6,15
0,7,15
0,8,15
0,9,15
0,10,15
0,11,15
0,12,15
0,13,15
0,14,15
0,15,15
0,16,15
0,17,15
0,18,15
0,19,15
0,20,15
0,21,15
0,22,15
0,23,15
0,24,15
0,25,15
0,26,15
0,27,15
0,28,15
0,29,10
0,30,10
0,31,10
0,32,10
0,33,10
0,34,10
0,35,10
0,36,10
0,37,10
0,38,10
0,39,10
0,40,10
0,41,10
0,42,10
0,43,10
0,44,10
0,45,10
0,46,10
0,47,10
0,48,10
0,49,10
0,50,10
0,51,10
0,52,10
0,53,10
0,54,10
0,55,10
0,56,10
0,57,10
0,58,10
0,59,20
0,60,20
0,61,20
0,62,20
0,63,20
0,64,20
0,65,20
0,66,20
0,67,20
0,68,20
0,69,20
0,70,10
0,71,10
0,72,10
0,73,10
0,74,10
0,75,15
0,76,15
0,77,15
0,78,15
0,79,15
0,80,10
0,81,10
0,82,10
0,83,10
0,84,10
0,85,10
0,86,15
0,87,15
0,88,10
0,89,10
0,90,10
0,91,10
0,92,10
0,93,10
0,94,10
0,95,10
0,96,10
0,97,10
0,98,10
0,99,10
0,100,10
0,101,10
0,102,10
0,103,10
0,104,10
0,105,10
0,106,10
0,107,10
0,108,10
0,109,10
0,110,10
0,111,10
0,112,10
0,113,10
0,114,10
0,115,10
0,116,10
0,117,10
0,118,10
0,119,10
0,120,10
0,121,10
0,122,10
0,123,10
0,124,10
0,125,10
0,126,10
0,127,10
0,128,10
0,129,10
0,130,10
0,131,10
0,132,10
0,133,10
0,134,10
0,135,10
0,136,10
0,137,10
0,138,10
0,139,10
0,140,10
0,141,10
0,142,10
0,143,10
0,144,10
0,145,10
0,146,10
0,147,10
0,148,10
0,149,10
0,150,10
0,151,10
0,152,10
0,153,10
0,154,10
0,155,10
0,156,10
0,157,10
0,158,10
1,0,15
1,1,15
1,2,15
1,3,15
1,4,15
1,5,15
1,6,15
1,7,15
1,8,15
1,9,15
1,10,15
1,11,15
1,12,15
1,13,15
1,14,15
1,15,15
1,16,15
1,17,15
1,18,15
1,19,15
1,20,15
1,21,15
1,22,15
1,23,15
1,24,15
1,25,15
1,26,15
1,27,15
1,28,15
1,29,10
1,30,10
1,31,10
1,32,10
1,33,10
1,34,10
1,35,10
1,36,10
1,37,10
1,38,10
1,39,10
1,40,10
1,41,10
1,42,10
1,43,10
1,44,10
1,45,10
1,46,10
1,47,10
1,48,10
1,49,10
1,50,10
1,51,10
1,52,10
1,53,10
1,54,10
1,55,10
1,56,10
1,57,10
1,58,10
1,59,20
1,60,20
1,61,20
1,62,20
1,63,20
1,64,20
1,65,20
1,66,20
1,67,20
1,68,20
1,69,20
1,70,20
1,71,10
1,72,10
1,73,10
1,74,10
1,75,15
1,76,15
1,77,15
1,78,15
1,79,10
1,80,10
1,81,10
1,82,10
1,83,10
1,84,15
1,85,15
1,86,15
1,87,15
1,88,15
1,89,15
1,90,10
1,91,10
1,92,10
1,93,10
1,94,10
1,95,10
1,96,10
1,97,10
1,98,10
1,99,10
1,100,10
1,101,10
1,102,10
1,103,10
1,104,10
1,105,10
1,106,10
1,107,10
1,108,10
1,109,10
1,110,10
1,111,10
1,112,10
1,113,10
1,114,10
1,115,10
1,116,10
1,117,10
1,118,10
1,119,10
1,120,10
1,121,10
1,122,10
1,123,10
1,124,10
1,125,10
1,126,10
1,127,10
1,128,10
1,129,10
1,130,10
1,131,10
1,132,10
1,133,10
1,134,10
1,135,10
1,136,10
1,137,10
1,138,10
1,139,10
1,140,10
1,141,10
1,142,10
1,143,10
1,144,10
1,145,10
1,146,10
1,147,10
1,148,10
1,149,10
1,150,10
1,151,10
1,152,10
1,153,10
1,154,10
1,155,10
1,156,10
1,157,10
1,158,10
2,0,15
2,1,15
2,2,15
2,3,15
2,4,15
2,5,15
2,6,15
2,7,15
2,8,15
2,9,15
2,10,15
2,11,15
2,12,15
2,13,15
2,14,15
2,15,15
2,16,15
2,17,15
2,18,15
2,19,15
2,20,15
2,21,15
2,22,15
2,23,15
2,24,15
2,25,15
2,26,15
2,27,15
2,28,10
2,29,10
2,30,10
2,31,10
2,32,10
2,33,10
2,34,10
2,35,10
2,36,10
2,37,10
2,38,10
2,39,10
2,40,10
2,41,10
2,42,10
2,43,10
2,44,10
2,45,10
2,46,10
2,47,10
2,48,10
2,49,10
2,50,10
2,51,10
2,52,10
2,53,10
2,54,10
2,55,10
2,56,10
2,57,10
2,58,10
2,59,10
2,60,20
2,61,20
2,62,20
2,63,20
2,64,20
2,65,20
2,66,20
2,67,20
2,68,20
2,69,20
2,70,20
2,71,20
2,72,10
2,73,10
2,74,10
2,75,15
2,76,15
2,77,15
2,78,15
2,79,10
2,80,10
2,81,10
2,82,10
2,83,15
2,84,15
2,85,15
2,86,15
2,87,15
2,88,15
2,89,15
2,90,15
2,91,10
2,92,10
2,93,10
2,94,10
2,95,10
2,96,10
2,97,10
2,98,10
2,99,10
2,100,10
2,101,10
2,102,10
2,103,10
2,104,10
2,105,10
2,106,10
2,107,10
2,108,10
2,109,10
2,110,10
2,111,10
2,112,10
2,113,10
2,114,10
2,115,10
2,116,10
2,117,10
2,118,10
2,119,10
2,120,10
2,121,10
2,122,10
2,123,10
2,124,10
2,125,10
2,126,10
2,127,10
2,128,10
2,129,10
2,130,10
